id,original_title,title,director,cast,release_year,runtime,session,weekday,at_work,sessions_left,watched,imdb_id,imdb_lists,url
2783,Delitto d’amore,Delito de Amor,Luigi Comencini,"['Stefania Sandrelli', 'Giuliano Gemma', 'Brizio Montinaro', 'Renato Scarpa']",1974,01:48:00,2025-10-01 19:15:00+01:00,Wednesday,False,2,False,,[],https://medeiafilmes.com/filmes/delito-de-amor-1974
2707,Lavagante,Lavagante,Mário Barroso,"['Francisco Froes', 'Nuno Lopes', 'Júlia Palha', 'Leonor Alecrim']",2025,01:32:00,2025-10-02 14:00:00+01:00,Thursday,True,3,False,,[],https://medeiafilmes.com/filmes/lavagante-2025
2794,Venga a prendere il caffè... da noi,Venha Tomar Café Connosco,Alberto Lattuada,"['Ugo Tognazzi', 'Francesca Romana Coluzzi', 'Angela Goodwin', 'Milena Vukotic']",1970,01:36:00,2025-10-02 16:00:00+01:00,Thursday,True,0,False,,[],https://medeiafilmes.com/filmes/venha-tomar-cafe-connosco-1970
2775,One Battle After Another,Batalha Atrás de Batalha,Paul Thomas Anderson,"['Leonardo DiCaprio', 'Sean Penn', 'Benicio Del Toro', 'Regina Hall']",2025,02:44:00,2025-10-02 18:00:00+01:00,Thursday,False,1,True,tt30144839,['To Watch'],https://medeiafilmes.com/filmes/batalha-atras-de-batalha-2025
2707,Lavagante,Lavagante,Mário Barroso,"['Francisco Froes', 'Nuno Lopes', 'Júlia Palha', 'Leonor Alecrim']",2025,01:32:00,2025-10-02 21:30:00+01:00,Thursday,False,3,False,,[],https://medeiafilmes.com/filmes/lavagante-2025
2768,Love Life,Love Life,Koji Fukada,"['Fumino Kimura', 'Kento Nagayama', 'Atom Sunada', 'Hirona Yamazaki']",2022,02:03:00,2025-10-03 12:30:00+01:00,Friday,True,0,False,,[],https://medeiafilmes.com/filmes/love-life-2022
2770,Les Amandiers,Les Amandiers – Jovens para Sempre,Valeria Bruni Tedeschi,"['Nadia Tereszkiewicz', 'Sofiane Bennacer', 'Louis Garrel', 'Micha Lescot']",2022,02:06:00,2025-10-03 15:00:00+01:00,Friday,True,0,False,,[],https://medeiafilmes.com/filmes/les-amandiers-jovens-para-sempre-2022
1981,The Lady from Shanghai,A Dama de Xangai,Orson Welles,"['Rita Hayworth', 'Orson Welles', 'Everett Sloane']",1947,01:27:00,2025-10-03 17:30:00+01:00,Friday,False,1,False,tt0040525,"[""Martin Scorsese's List of 85 Films You Must See""]",https://medeiafilmes.com/filmes/a-dama-de-xangai-1947
2707,Lavagante,Lavagante,Mário Barroso,"['Francisco Froes', 'Nuno Lopes', 'Júlia Palha', 'Leonor Alecrim']",2025,01:32:00,2025-10-03 19:30:00+01:00,Friday,False,2,False,,[],https://medeiafilmes.com/filmes/lavagante-2025
2805,The Smashing Machine,The Smashing Machine: Coração de Lutador,Benny Safdie,"['Dwayne Johnson', 'Emily Blunt']",2025,02:03:00,2025-10-03 21:30:00+01:00,Friday,False,1,False,,[],https://medeiafilmes.com/filmes/the-smashing-machine-coracao-de-lutador-2025
1845,Buena Vista Social Club,Buena Vista Social Club,Wim Wenders,"['Joachim Cooder', 'Ry Cooder', 'Ibrahim Ferrer', 'Eliades Ochoa', 'Compay Segundo']",1999,01:45:00,2025-10-04 11:00:00+01:00,Saturday,False,1,False,,[],https://medeiafilmes.com/filmes/buena-vista-social-club-1999
2813,Vredens Dag,Dia de Cólera,Carl Theodor Dreyer,"['Thorkild Roose', 'Lisbeth Movin', 'Sigrid Neiiendam']",1943,01:37:00,2025-10-04 13:00:00+01:00,Saturday,False,1,False,,[],https://medeiafilmes.com/filmes/dia-de-colera-1943
2172,Touch of Evil,A Sede do Mal,Orson Welles,"['Orson Welles', 'Charlton Heston', 'Janet Leigh', 'Marlene Dietrich']",1958,01:51:00,2025-10-04 15:00:00+01:00,Saturday,False,1,False,tt0052311,"[""Martin Scorsese's List of 85 Films You Must See""]",https://medeiafilmes.com/filmes/a-sede-do-mal-1958
2783,Delitto d’amore,Delito de Amor,Luigi Comencini,"['Stefania Sandrelli', 'Giuliano Gemma', 'Brizio Montinaro', 'Renato Scarpa']",1974,01:48:00,2025-10-04 17:00:00+01:00,Saturday,False,1,False,,[],https://medeiafilmes.com/filmes/delito-de-amor-1974
1689,Morte a Venezia,Morte em Veneza,Luchino Visconti,"['Dirk Bogarde', 'Silvana Mangano', 'Björn Andresen']",1971,02:10:00,2025-10-04 19:00:00+01:00,Saturday,False,1,False,,[],https://medeiafilmes.com/filmes/morte-em-veneza-1971
2707,Lavagante,Lavagante,Mário Barroso,"['Francisco Froes', 'Nuno Lopes', 'Júlia Palha', 'Leonor Alecrim']",2025,01:32:00,2025-10-04 21:30:00+01:00,Saturday,False,1,False,,[],https://medeiafilmes.com/filmes/lavagante-2025
